area,country_code,dash_score_a,order_a,dash_score_b,order_b,total_dash_score,energy_distance,order_total,hdi_2013,gini_index,ghi_200913,gni_per_capita_current_us,"malnutrition_prevalence,_height_for_age_of_children_under_5","malnutrition_prevalence,_weight_for_age_of_children_under_5",sex,mean_bmi_lower_95_uncertainty_interval,mean_bmi_upper_95_uncertainty_interval,mean_bmi,number_of_people_who_are_undernourished_sn.itk.defc,prevalence_of_bmi_18.5_to_20_lower_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_upper_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_,prevalence_of_bmi_20_to_25_lower_95_uncertainty_interval,prevalence_of_bmi_20_to_25_upper_95_uncertainty_interval,prevalence_of_bmi_20_to_25_,prevalence_of_bmi_25_to_30_lower_95_uncertainty_interval,prevalence_of_bmi_25_to_30_upper_95_uncertainty_interval,prevalence_of_bmi_25_to_30_,prevalence_of_bmi_30_to_35_lower_95_uncertainty_interval,prevalence_of_bmi_30_to_35_upper_95_uncertainty_interval,prevalence_of_bmi_30_to_35_,prevalence_of_bmi_35_to_40_lower_95_uncertainty_interval,prevalence_of_bmi_35_to_40_upper_95_uncertainty_interval,prevalence_of_bmi_35_to_40_,prevalence_of_bmi_40_lower_95_uncertainty_interval,prevalence_of_bmi_40_upper_95_uncertainty_interval,prevalence_of_bmi_40_morbid_obesity,prevalence_of_bmi18.5_underweight,prevalence_of_bmi18.5_lower_95_uncertainty_interval,prevalence_of_bmi18.5_upper_95_uncertainty_interval,prevalence_of_bmi30_obesity,prevalence_of_bmi30_lower_95_uncertainty_interval,prevalence_of_bmi30_upper_95_uncertainty_interval,prevalence_of_bmi35_severe_obesity,prevalence_of_bmi35_lower_95_uncertainty_interval,prevalence_of_bmi35_upper_95_uncertainty_interval,prevalence_of_anemia_among_children_of_children_under_5_sh.anm.chld.zs,prevalence_of_anemia_among_nonpregnant_women_of_women_ages_1549_sh.anm.nprg.zs,prevalence_of_anemia_among_pregnant_women_sh.prg.anem,prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_1549_sh.anm.allw.zs,prevalence_of_overweight_of_adults_sh.sta.owad.zs,prevalence_of_overweight_of_children_under_5_sh.sta.owgh.zs,"prevalence_of_severe_wasting,_weight_for_height_of_children_under_5_sh.svr.wast.zs",prevalence_of_undernourishment_of_population_sn.itk.defc.zs,prevalence_of_wasting_of_children_under_5_sh.sta.wast.zs
Botswana,BWA,14,174,16,127,30,-30,162,0.693,,<5,7480,,,Women,25.4741143,26.95953537,26.2,500000,0.038593814,0.098176124,0.063922611,0.249780694,0.365469897,0.304926112,0.220649038,0.337117311,0.276235587,0.116971156,0.246247336,0.178009778,0.032500421,0.116840863,0.068747806,0.016448887,0.084957656,0.043756564,0.064401543,0.029396047,0.115022797,0.290514148,0.220418883,0.365581446,0.112504369,0.06577578,0.170297802,40.9,29.1,33.7,29.3,41.9,,,24.9,
Brazil,BRA,19,46,15,136,34,909,102,0.748,52.8,<5,12730,,,Men,25.66638545,26.47936453,26.08,5100000,0.02512558,0.055633742,0.038635336,0.318555951,0.42308994,0.370309549,0.342015838,0.447041687,0.394721578,0.10464172,0.180833036,0.14032418,0.017045625,0.045931629,0.029202447,0.002931611,0.013293077,0.006834368,0.019972542,0.011823288,0.031175622,0.176360995,0.139188947,0.218215539,0.036036815,0.022777113,0.053974588,23.1,25.1,37.4,25.5,54.6,,,2.5,
Brazil,BRA,19,46,15,136,34,909,102,0.748,52.8,<5,12730,,,Women,26.15486683,27.12938753,26.65,5100000,0.036961159,0.075769307,0.054831739,0.305158582,0.406369204,0.355695655,0.263174342,0.351454299,0.306872905,0.121167999,0.19714375,0.157420304,0.046010765,0.095902385,0.068864059,0.012388022,0.037039808,0.022719487,0.033595851,0.020921253,0.049838956,0.249003851,0.206048513,0.294806895,0.091583546,0.066404076,0.120766303,23.1,25.1,37.4,25.5,54.6,,,2.5,
Brunei Darussalam,BRN,15,151,13,168,28,624,183,0.853,,,45180,,,Men,26.28256062,27.4446832,26.87,100000,0.04980403,0.128196989,0.085023398,0.387753207,0.526866698,0.457470204,0.219641254,0.348205768,0.280971386,0.049798502,0.136356996,0.087905812,0.006664809,0.039042627,0.018454304,0.001454221,0.015309075,0.005922933,0.064251963,0.029355259,0.113801224,0.112283049,0.070692071,0.162492615,0.024377237,0.010782306,0.046686409,14.3,14,25.9,14.4,38.7,,,2.7,
Brunei Darussalam,BRN,15,151,13,168,28,624,183,0.853,,,45180,,,Women,26.3258356,27.66038952,26.98,100000,0.062135762,0.137582211,0.096649288,0.370002259,0.491733314,0.431074119,0.20911549,0.313833162,0.259254601,0.061163555,0.153576588,0.102874115,0.015686733,0.065518188,0.035234893,0.003268186,0.027103453,0.011395479,0.063517504,0.029188557,0.114015247,0.149504488,0.101921999,0.20521574,0.046630372,0.023562918,0.079232164,14.3,14,25.9,14.4,38.7,,,2.7,
Bulgaria,BGR,16,127,16,123,32,473,134,0.792,36.6,19.9,7590,,,Men,25.82845148,28.17295726,27.01,300000,0.007081828,0.026142174,0.014456994,0.237590246,0.350142694,0.292572415,0.374025518,0.509914271,0.443174454,0.128697356,0.265366667,0.194074666,0.016585615,0.082049601,0.042767807,0.001860551,0.026137667,0.0094634,0.003490262,0.000988116,0.00843309,0.246305874,0.178692378,0.319206108,0.052231208,0.023633713,0.092864685,25.6,24.5,27.2,24.5,60.3,,,4.4,
Bulgaria,BGR,16,127,16,123,32,473,134,0.792,36.6,19.9,7590,,,Women,24.37068444,27.16021734,25.77,300000,0.029896858,0.080263539,0.051639643,0.316972318,0.442103555,0.378590251,0.250588652,0.367550269,0.307899355,0.104470291,0.235455703,0.165489211,0.025181685,0.105651123,0.057477934,0.005146808,0.048645158,0.020281167,0.01862244,0.006670611,0.039486614,0.243248311,0.17526605,0.31785553,0.0777591,0.038978882,0.12998744,25.6,24.5,27.2,24.5,60.3,,,4.4,
Burkina Faso,BFA,14,170,19,79,33,364,110,0.401,,35.6,690,31.3,20.9,Men,21.41575098,22.74777313,22.08,3500000,0.120150856,0.240822635,0.177289189,0.490839579,0.628298382,0.56087935,0.08905018,0.176257733,0.130205164,0.008313815,0.035673601,0.019029879,0.00040091,0.0044102,0.001725787,0.00018377,0.00366207,0.001154765,0.109715866,0.060647668,0.174313133,0.021910431,0.010780019,0.038799395,0.002880552,0.000924141,0.006304745,87,49.1,58.1,50.1,21.3,0.8,1.6,20.2,8.1
Burkina Faso,BFA,14,170,19,79,33,364,110,0.401,,35.6,690,31.3,20.9,Women,21.32686031,22.61451628,21.97,3500000,0.097300452,0.184588883,0.136462513,0.395380187,0.510883406,0.453330776,0.161647203,0.251583823,0.206449147,0.030742937,0.08227316,0.053089202,0.004878067,0.023365474,0.01182653,0.002343383,0.016178682,0.00720974,0.131632092,0.079209443,0.193552931,0.072125472,0.04747833,0.103300366,0.01903627,0.009640871,0.03292836,87,49.1,58.1,50.1,21.3,0.8,1.6,20.2,8.1
Cabo Verde,CPV,19,45,17,103,36,240,69,0.642,,,3440,,,Men,22.59370538,24.70268042,23.68,100000,0.074393428,0.183127708,0.123476941,0.448208474,0.597335592,0.523299182,0.147390645,0.26757524,0.202968572,0.023749317,0.087874995,0.050711555,0.001913809,0.019887731,0.007653208,0.000509818,0.011477717,0.003538497,0.088352046,0.037274773,0.159477024,0.061903259,0.032753774,0.100067837,0.011191705,0.003929898,0.02463653,54.5,30.9,42.9,31.5,32.9,,,14,
Cabo Verde,CPV,19,45,17,103,36,240,69,0.642,,,3440,,,Women,23.9996697,26.46416248,25.23,100000,0.064945801,0.144873043,0.100536592,0.360923204,0.481047387,0.419964756,0.201941556,0.307141727,0.252519998,0.062087858,0.159047356,0.105890147,0.012340578,0.062803295,0.031878078,0.00473107,0.040861272,0.017270033,0.071940396,0.029009804,0.135783772,0.155038258,0.104277955,0.213064128,0.049148111,0.024183775,0.085085324,54.5,30.9,42.9,31.5,32.9,,,14,
Cambodia,KHM,13,187,21,52,34,119,90,0.56,,12.6,970,,,Men,21.0369509,22.67797825,21.85,2800000,0.10883077,0.234511335,0.168145726,0.44499031,0.59542449,0.521207042,0.107080971,0.207116955,0.152453328,0.008818579,0.04117143,0.021174298,0.000289759,0.004485101,0.001525804,3.41E-05,0.001469546,0.000375841,0.135117961,0.067322148,0.21636088,0.023075943,0.010578496,0.043045757,0.001901645,0.000503722,0.004897819,55.3,45.5,54.9,46,19.9,,,18.8,
Cambodia,KHM,13,187,21,52,34,119,90,0.56,,12.6,970,,,Women,21.43858121,22.62251862,22.03,2800000,0.101545464,0.195140197,0.145039833,0.4164804,0.537199282,0.475693264,0.147565423,0.231770928,0.18891319,0.018612046,0.056855042,0.035069098,0.002297142,0.0132791,0.006304116,0.000394772,0.0041259,0.001580033,0.147400467,0.086238781,0.217760653,0.042953246,0.025555974,0.065276198,0.007884149,0.003487957,0.015189922,55.3,45.5,54.9,46,19.9,,,18.8,
Cameroon,CMR,16,115,20,62,36,314,62,0.535,,21.5,1450,,,Men,22.3094977,24.78346941,23.54,1600000,0.088769869,0.191924671,0.13640375,0.479254415,0.611031611,0.544526934,0.140040192,0.244948,0.188979089,0.02334626,0.074381067,0.044916385,0.00184817,0.014017193,0.006127955,0.000875114,0.010526245,0.003888217,0.075157669,0.038309724,0.123145439,0.054932558,0.031889866,0.085762797,0.010016172,0.004066303,0.019557498,62.9,40.5,49.8,41.4,31.7,,,7.4,
Cameroon,CMR,16,115,20,62,36,314,62,0.535,,21.5,1450,,,Women,24.25517071,25.7261065,24.99,1600000,0.062193096,0.129950688,0.093665534,0.381422474,0.486962056,0.434476246,0.208019604,0.300482715,0.252817661,0.067312048,0.142712186,0.101077364,0.017978481,0.057267435,0.034545251,0.008363904,0.037708467,0.019654,0.063763945,0.03471017,0.102718365,0.155276614,0.11567497,0.199113518,0.05419925,0.032451822,0.081217573,62.9,40.5,49.8,41.4,31.7,,,7.4,
Canada,CAN,22,7,10,192,32,1139,144,0.911,34,,52620,,,Men,27.03491213,27.8291969,27.43,900000,0.008711645,0.020951265,0.01407172,0.239215212,0.321333481,0.278631094,0.36911472,0.465225348,0.417541965,0.154158579,0.24193487,0.196119078,0.040440453,0.092487891,0.064105019,0.012848168,0.042866409,0.025492941,0.004038183,0.00203024,0.006992855,0.285717038,0.239033493,0.333471621,0.08959796,0.062610077,0.121072841,8.5,8.4,16.8,8.6,62.7,,,2.5,
Canada,CAN,22,7,10,192,32,1139,144,0.911,34,,52620,,,Women,26.19978787,27.13885387,26.67,900000,0.031767211,0.065211762,0.046910872,0.306898073,0.390906292,0.348080516,0.25762316,0.338310211,0.297936179,0.125712115,0.204290191,0.163124421,0.051423272,0.107787893,0.076957052,0.028478153,0.072670792,0.04791947,0.01907149,0.011131497,0.029962197,0.288000943,0.244250422,0.334161637,0.124876522,0.093082024,0.160978099,8.5,8.4,16.8,8.6,62.7,,,2.5,
Central African Republic,CAF,13,182,25,16,38,-474,30,0.344,,24.9,330,,,Men,20.35889447,23.41462086,21.91,2100000,0.1017036,0.263181842,0.175281416,0.371110823,0.565311076,0.469324013,0.089639095,0.208978301,0.144413584,0.010613063,0.055953503,0.028165642,0.000718923,0.012811309,0.004206971,3.06E-05,0.003114282,0.00069233,0.177916043,0.086234533,0.288657001,0.033064943,0.014637126,0.060509175,0.004899301,0.001064747,0.013778228,73.1,45.4,53,46,24.6,,,46.9,
Central African Republic,CAF,13,182,25,16,38,-474,30,0.344,,24.9,330,,,Women,21.83795934,25.06770713,23.45,2100000,0.074767065,0.188544827,0.125268036,0.346959438,0.504833229,0.425111827,0.1651124,0.284296425,0.222146269,0.036268935,0.123644151,0.073036166,0.007337385,0.048434003,0.022549113,0.001099256,0.018383938,0.006246737,0.125641853,0.058434616,0.214027754,0.101832015,0.05970243,0.157750918,0.02879585,0.011377287,0.057187395,73.1,45.4,53,46,24.6,,,46.9,
Chad,TCD,13,180,27,9,40,-244,9,0.397,,<5,980,,,Men,20.4128602,23.53127742,21.95,4900000,0.111745313,0.24378981,0.173061299,0.460824928,0.616838364,0.537350028,0.085935389,0.178327931,0.128052003,0.009137314,0.042263963,0.02206787,0.000568949,0.007755561,0.002693648,0.000419155,0.008736209,0.002759316,0.134015837,0.066442238,0.219952261,0.027520833,0.013771178,0.048570348,0.005452963,0.00170872,0.013014924,74.4,47,53,47.8,21.6,,,37.1,
Chad,TCD,13,180,27,9,40,-244,9,0.397,,<5,980,,,Women,20.99886995,22.6284543,21.81,4900000,0.089517327,0.176485716,0.128210772,0.388785677,0.507455944,0.447192939,0.162042688,0.252445806,0.206369703,0.033148631,0.092521467,0.058316934,0.006449285,0.032784916,0.016653264,0.001947659,0.017225965,0.007245368,0.13601102,0.074609276,0.211909701,0.082215566,0.053036734,0.118399208,0.023898632,0.011130565,0.041868275,74.4,47,53,47.8,21.6,,,37.1,
Chile,CHL,15,155,12,181,27,627,195,0.828,47.3,5.4,15370,1.8,0.5,Men,26.96910457,28.41711875,27.68,600000,0.010613118,0.031602507,0.019467093,0.274767074,0.386774925,0.330541184,0.342495351,0.468604284,0.405006861,0.134866006,0.246302851,0.1883915,0.021549389,0.073509624,0.043138385,0.003267745,0.021762236,0.009915042,0.003539936,0.001312676,0.007421947,0.241444927,0.1853456,0.30234108,0.053053427,0.029719716,0.08511861,18.6,11.8,25,12.2,61.5,10.1,,3.7,0.3
Chile,CHL,15,155,12,181,27,627,195,0.828,47.3,5.4,15370,1.8,0.5,Women,27.23637051,28.97080606,28.1,600000,0.019912441,0.054084521,0.034732123,0.283538008,0.392329728,0.33695803,0.258310096,0.366838533,0.31125221,0.136807132,0.245253474,0.188459663,0.047805207,0.124303236,0.081761103,0.017418242,0.066271373,0.036910584,0.009926287,0.004307492,0.018353349,0.30713135,0.248653452,0.369627239,0.118671687,0.07983557,0.164410378,18.6,11.8,25,12.2,61.5,10.1,,3.7,0.3
China,CHN,20,26,20,55,40,758,15,0.729,39.7,5.3,6800,8.1,2.4,Men,23.50296393,24.17009335,23.84,137300000,0.072041815,0.121442884,0.094750762,0.488755046,0.580653308,0.535140491,0.233295737,0.321212386,0.27651811,0.031471523,0.06329318,0.045752592,0.001708123,0.005806714,0.003293555,0.000297797,0.001728195,0.00079223,0.04375226,0.030026921,0.060537298,0.049838377,0.035178968,0.067238119,0.004085785,0.002351554,0.006669651,17.6,21.7,28.6,21.9,30,,,9.7,1.9
China,CHN,20,26,20,55,40,758,15,0.729,39.7,5.3,6800,8.1,2.4,Women,23.0044972,23.78936489,23.39,137300000,0.08291846,0.143361332,0.111078021,0.485074838,0.575252708,0.530629449,0.197395319,0.272764048,0.233941879,0.036599793,0.070947737,0.0522286,0.003573902,0.010308727,0.006374146,0.000513639,0.002355852,0.00121305,0.064534856,0.045891668,0.086756164,0.059815795,0.044100065,0.078871244,0.007587195,0.004629985,0.011652972,17.6,21.7,28.6,21.9,30,,,9.7,1.9
"China, Hong Kong SAR",HKG,19,55,10,194,29,933,181,0.915,,,38570,,,Men,23.03902766,25.78946747,24.42,200000,0.028311676,0.098747118,0.056202388,0.374058715,0.533618838,0.453063316,0.265049859,0.431572415,0.349526658,0.047415145,0.151440357,0.092692749,0.001755283,0.023649364,0.008959885,0.000212832,0.008598927,0.002350995,0.037204009,0.01294587,0.079800749,0.104003629,0.058326482,0.163641435,0.01131088,0.003159542,0.026746939,,,,,,,,2.5,
"China, Hong Kong SAR",HKG,19,55,10,194,29,933,181,0.915,,,38570,,,Women,21.93136656,25.64132775,23.77,200000,0.048376213,0.141538254,0.08708235,0.39596585,0.546539134,0.470270519,0.206242128,0.33971649,0.271539816,0.044599226,0.145299879,0.088412085,0.003342332,0.029511067,0.012278312,0.00027265,0.009150987,0.002549841,0.067867076,0.026799614,0.132682705,0.103240238,0.059201801,0.162660496,0.014828153,0.004767222,0.032711992,,,,,,,,2.5,
"China, Taiwan Province of",,20,39,10,193,30,641,171,#N/A,,,,,,Men,23.96934418,25.62221278,24.8,,0.043792267,0.110365011,0.072268209,0.444126623,0.577239686,0.511206711,0.25362006,0.385506724,0.319835946,0.032966387,0.09236747,0.058604768,0.001084049,0.009128578,0.003776778,0.000143929,0.003076894,0.000959791,0.033347797,0.016272136,0.0575352,0.063341337,0.037245698,0.097618897,0.004736569,0.001726533,0.010428558,,,,,,,,,
"China, Taiwan Province of",,20,39,10,193,30,641,171,#N/A,,,,,,Women,22.6385141,24.53322961,23.56,,0.063387424,0.14541974,0.099912134,0.437722193,0.561853038,0.501044954,0.202445939,0.308645279,0.254083862,0.041084628,0.10754448,0.070009641,0.003300097,0.018028444,0.008639135,0.000256049,0.003415695,0.001234017,0.065076258,0.035502983,0.105510362,0.079882793,0.050102405,0.118743809,0.009873152,0.004267122,0.019445909,,,,,,,,,
Colombia,COL,15,140,18,97,33,445,113,0.735,52.8,29.5,7750,,,Men,25.05078701,26.25382051,25.65,4200000,0.021929036,0.056097793,0.036679343,0.326435352,0.439269906,0.382209359,0.335351414,0.456124577,0.395905261,0.092095207,0.18497862,0.135786893,0.012431933,0.045609812,0.025971681,0.002011277,0.01273109,0.005908572,0.01753889,0.008507537,0.031635806,0.167667147,0.12144354,0.21855508,0.031880254,0.017345055,0.052311494,27.5,21.5,27.8,21.7,57.4,,,8.9,
Colombia,COL,15,140,18,97,33,445,113,0.735,52.8,29.5,7750,,,Women,25.88073236,27.24100355,26.56,4200000,0.025931966,0.058710836,0.040449329,0.271745041,0.368073029,0.318493083,0.303553063,0.40490228,0.353342103,0.137904207,0.234773056,0.184848143,0.034356751,0.087957042,0.058132965,0.008900194,0.034581674,0.019320082,0.025414294,0.013965031,0.04111091,0.262301191,0.211645803,0.314159489,0.077453048,0.050572295,0.110349942,27.5,21.5,27.8,21.7,57.4,,,8.9,
Congo,COG,13,189,20,67,33,-152,107,0.582,,<5,2430,,,Men,20.63881277,23.83204231,22.24,1800000,0.090574873,0.236782137,0.155125855,0.363761437,0.550899027,0.459063553,0.121021974,0.254220677,0.183640852,0.017542343,0.07526328,0.041071323,0.001599639,0.020429789,0.007514474,4.37E-05,0.003716798,0.000869358,0.152714584,0.079561517,0.248131886,0.049455155,0.023981108,0.085569444,0.008383832,0.002194267,0.021180552,64.7,52.7,58.6,53.2,29.1,,,38.7,
Congo,COG,13,189,20,67,33,-152,107,0.582,,<5,2430,,,Women,23.17427545,24.81525827,23.99,1800000,0.069796233,0.169123046,0.112845246,0.330434145,0.476423058,0.403199247,0.185423564,0.300763393,0.240258078,0.054995646,0.140838597,0.092764497,0.01110161,0.053082172,0.027042014,0.00236889,0.020779431,0.008580245,0.115310673,0.063969418,0.181215288,0.128386756,0.085556458,0.180471374,0.035622259,0.017493131,0.064336642,64.7,52.7,58.6,53.2,29.1,,,38.7,
Costa Rica,CRI,19,44,18,90,37,487,49,0.776,49.3,<5,9810,,,Men,26.07642293,27.35364477,26.7,300000,0.019440616,0.052618319,0.033214342,0.30892508,0.42458972,0.365484561,0.332949272,0.457262272,0.393475246,0.098822538,0.205942155,0.148525519,0.014221392,0.057225299,0.031854083,0.005297428,0.033524756,0.0152714,0.012174849,0.005247222,0.023188027,0.195651003,0.140988826,0.256179031,0.047125484,0.0255472,0.077942035,28.1,13.1,23.5,13.5,59.2,,,5.5,
Costa Rica,CRI,19,44,18,90,37,487,49,0.776,49.3,<5,9810,,,Women,27.15935535,28.44556898,27.81,300000,0.022717546,0.059325453,0.03849456,0.258944775,0.360826257,0.308574594,0.284727124,0.39014909,0.335909672,0.1323288,0.245717584,0.185630509,0.038203944,0.113563426,0.069810369,0.016581302,0.072580809,0.038716445,0.022863852,0.010477187,0.04180264,0.294157322,0.234018481,0.357744134,0.108526814,0.068996988,0.157272314,28.1,13.1,23.5,13.5,59.2,,,5.5,
Côte d'Ivoire,CIV,14,167,21,51,35,443,83,0.462,,19.5,1330,,,Men,22.30327368,24.39254483,23.36,4700000,0.084956183,0.193740289,0.134762726,0.473720971,0.615109848,0.545252927,0.132812551,0.240029371,0.184243734,0.020677462,0.072862969,0.041765197,0.001545958,0.013925389,0.005717338,0.000777737,0.011521141,0.0040131,0.084244979,0.039166081,0.149569246,0.051495634,0.02909331,0.083118611,0.009730438,0.003665968,0.020182318,74,51.2,59.3,52,29.6,,,21.4,
Côte d'Ivoire,CIV,14,167,21,51,35,443,83,0.462,,19.5,1330,,,Women,23.26814165,24.90654856,24.09,4700000,0.071075982,0.148319383,0.105684859,0.376478716,0.484807976,0.431015604,0.198996887,0.290436441,0.243631818,0.062096564,0.143030202,0.098628478,0.012359073,0.049061363,0.027354059,0.005816883,0.035372412,0.016568023,0.077117158,0.0399183,0.12753767,0.14255056,0.10096701,0.190793291,0.043922082,0.02425605,0.070343575,74,51.2,59.3,52,29.6,,,21.4,
Croatia,HRV,19,47,14,146,33,703,119,0.821,32,<5,13560,,,Men,27.05091154,28.59637373,27.83,100000,0.008120461,0.025666441,0.015342816,0.266395134,0.37272262,0.319010982,0.370985471,0.491800452,0.430721004,0.129489931,0.241245725,0.182142948,0.018531327,0.069723614,0.039292497,0.003172177,0.022572152,0.009976422,0.00351333,0.001234273,0.007622958,0.231411868,0.17447548,0.293201555,0.049268919,0.026546339,0.081330231,25.5,25.4,28.1,25.5,58,,,2.5,
Croatia,HRV,19,47,14,146,33,703,119,0.821,32,<5,13560,,,Women,25.70264015,27.64702125,26.67,100000,0.033636583,0.080940515,0.054103978,0.33696266,0.450970123,0.393336446,0.239963976,0.344575948,0.290978109,0.106730982,0.2106704,0.155693626,0.031649177,0.093975224,0.05819231,0.012344642,0.057827997,0.029418955,0.018276576,0.008411581,0.033445498,0.243304891,0.188138385,0.302360812,0.087611265,0.053592812,0.129879399,25.5,25.4,28.1,25.5,58,,,2.5,
Cuba,CUB,19,43,20,58,39,1049,28,0.765,,15.7,6570,,,Men,24.37755528,25.8830662,25.13,300000,0.028400451,0.077111951,0.048678002,0.304708355,0.434715777,0.367742177,0.29543234,0.428581084,0.361259481,0.082321794,0.183076868,0.13008693,0.014649608,0.061726568,0.033451578,0.005326144,0.034723486,0.015800218,0.042981613,0.020767205,0.074693076,0.179338726,0.127038557,0.23697965,0.049251796,0.026185527,0.081274425,28.9,24.1,27.9,24.2,56.8,,,2.5,
Cuba,CUB,19,43,20,58,39,1049,28,0.765,,15.7,6570,,,Women,25.17734755,26.85257085,26.03,300000,0.025848588,0.07057683,0.044921813,0.22474503,0.337389615,0.279638416,0.270461185,0.387275464,0.328420073,0.122400392,0.240576812,0.178033781,0.044295286,0.127458322,0.081241715,0.017990009,0.077260747,0.042394994,0.045349208,0.023220482,0.077507147,0.30167049,0.237739674,0.368854527,0.123636709,0.078729286,0.175939496,28.9,24.1,27.9,24.2,56.8,,,2.5,
Cyprus,CYP,15,156,11,190,26,282,203,0.853,37,,27220,,,Men,26.20918496,29.0729148,27.67,100000,0.008519974,0.030955415,0.017235403,0.263200038,0.382309767,0.32065767,0.371579444,0.515849848,0.445607385,0.10209159,0.237016049,0.16444357,0.013009823,0.078644063,0.037361283,0.002237028,0.029637292,0.010708512,0.003986178,0.000968816,0.010421698,0.212513365,0.145380708,0.288149548,0.048069795,0.02104368,0.090985105,15.5,22.1,28.4,22.2,58,,,4.4,
Cyprus,CYP,15,156,11,190,26,282,203,0.853,37,,27220,,,Women,24.5540445,27.94837153,26.24,100000,0.027233153,0.076647976,0.047855937,0.341844016,0.465098998,0.402530347,0.257515401,0.371279434,0.314398171,0.089875876,0.211779894,0.146374467,0.021865792,0.102048715,0.053356771,0.004060756,0.044669281,0.018048632,0.017435675,0.005551115,0.038536919,0.21777987,0.153117728,0.287487318,0.071405403,0.035163445,0.122140546,15.5,22.1,28.4,22.2,58,,,4.4,
Czechia,CZE,15,149,14,157,29,894,178,0.874,26.5,,19270,,,Men,27.03934668,28.85710642,27.94,300000,0.006358722,0.020571033,0.012097788,0.236100342,0.341046122,0.28582191,0.376262742,0.504437044,0.441543293,0.145370018,0.264351414,0.202727626,0.021377659,0.077339785,0.044198808,0.003431199,0.026248292,0.011405379,0.002205197,0.000759914,0.004797884,0.258331813,0.197048958,0.324703969,0.055604187,0.030111387,0.090268997,24.5,23.7,25.7,23.7,61.3,,,2.5,
Czechia,CZE,15,149,14,157,29,894,178,0.874,26.5,,19270,,,Women,25.38755859,27.39380792,26.38,300000,0.029459929,0.074714351,0.049035863,0.317138783,0.434376357,0.375294695,0.247175062,0.360144234,0.302576736,0.114413344,0.228172098,0.167610228,0.034567132,0.108750212,0.066292039,0.008792777,0.048391035,0.023609743,0.015580696,0.006873099,0.030037857,0.257512011,0.196555511,0.322370547,0.089901783,0.05363468,0.13586734,24.5,23.7,25.7,23.7,61.3,,,2.5,
Democratic People's Republic of Korea,PRK,17,88,21,48,38,-260,36,#N/A,,,,,,Men,21.58702021,26.52970585,24.04,10400000,0.048388436,0.145665667,0.089360639,0.449514068,0.60439223,0.527105855,0.200253125,0.349235183,0.27586513,0.02163193,0.093854344,0.05051489,0.0006206,0.012348288,0.003976336,7.12E-05,0.004391532,0.00101378,0.052163369,0.015921126,0.116396355,0.055505007,0.02621013,0.098553382,0.004990117,0.001128229,0.013702515,29,30.3,35.9,30.4,31,,,41.7,
Democratic People's Republic of Korea,PRK,17,88,21,48,38,-260,36,#N/A,,,,,,Women,20.45537156,27.37641835,23.87,10400000,0.061031893,0.160916481,0.10517376,0.436405299,0.579156012,0.508983362,0.182325552,0.293298082,0.236423991,0.028046904,0.106666209,0.060740546,0.001684052,0.021930251,0.007945368,0.000116251,0.005975811,0.001517475,0.079215498,0.026374463,0.163865995,0.070203389,0.035906915,0.116396453,0.009462843,0.002537132,0.024245141,29,30.3,35.9,30.4,31,,,41.7,
Denmark,DNK,16,133,6,217,22,1013,217,0.931,28.5,,63200,,,Men,25.91098375,26.60903596,26.26,100000,0.012124388,0.029665076,0.019489898,0.289421441,0.381466155,0.333909424,0.37436486,0.474235835,0.425626406,0.121331695,0.205134386,0.161009402,0.02491329,0.063851349,0.041918148,0.005572003,0.022698881,0.01231535,0.005731373,0.003033907,0.009772362,0.215242899,0.173171452,0.259435439,0.054233498,0.035287026,0.077690625,10.9,13.7,21.8,13.9,54.3,,,2.5,
Denmark,DNK,16,133,6,217,22,1013,217,0.931,28.5,,63200,,,Women,23.7349826,25.37781165,24.56,100000,0.04056893,0.091624005,0.063136492,0.379104556,0.479032617,0.427970685,0.261908589,0.356813195,0.309392835,0.077083591,0.157571543,0.115485425,0.02099988,0.064663102,0.039372658,0.005889771,0.027747992,0.014510176,0.030131729,0.015786605,0.049788641,0.169368258,0.126611275,0.21591986,0.053882833,0.033137334,0.080639152,10.9,13.7,21.8,13.9,54.3,,,2.5,
Djibouti,DJI,15,141,17,108,32,251,130,0.463,44.1,7,,,,Men,21.11814037,25.74925691,23.43,200000,0.056641075,0.170965375,0.105699901,0.398496042,0.57068076,0.483083053,0.168203636,0.319729182,0.240532529,0.030865963,0.119565542,0.067500326,0.00208606,0.028549161,0.010499349,0.000359833,0.012424315,0.003523088,0.089161755,0.032214204,0.178846436,0.081522762,0.042100158,0.134736729,0.014022436,0.004069818,0.033118529,42.9,30.7,37.4,31.1,37.2,,,19.3,
Djibouti,DJI,15,141,17,108,32,251,130,0.463,44.1,7,,,,Women,21.46020957,27.94114644,24.66,200000,0.053512062,0.138322791,0.090294954,0.322422374,0.459653222,0.390122056,0.208847252,0.33105277,0.267173399,0.070355913,0.190063542,0.122628306,0.013697229,0.081398853,0.039469262,0.003639221,0.047488163,0.017941552,0.072370471,0.026841267,0.147078464,0.18003912,0.119967792,0.252187481,0.057410814,0.024870768,0.10385791,42.9,30.7,37.4,31.1,37.2,,,19.3,
