area,country_code,dash_score_a,order_a,dash_score_b,order_b,total_dash_score,energy_distance,order_total,hdi_2013,gini_index,ghi_200913,gni_per_capita_current_us,"malnutrition_prevalence,_height_for_age_of_children_under_5","malnutrition_prevalence,_weight_for_age_of_children_under_5",sex,mean_bmi_lower_95_uncertainty_interval,mean_bmi_upper_95_uncertainty_interval,mean_bmi,number_of_people_who_are_undernourished_sn.itk.defc,prevalence_of_bmi_18.5_to_20_lower_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_upper_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_,prevalence_of_bmi_20_to_25_lower_95_uncertainty_interval,prevalence_of_bmi_20_to_25_upper_95_uncertainty_interval,prevalence_of_bmi_20_to_25_,prevalence_of_bmi_25_to_30_lower_95_uncertainty_interval,prevalence_of_bmi_25_to_30_upper_95_uncertainty_interval,prevalence_of_bmi_25_to_30_,prevalence_of_bmi_30_to_35_lower_95_uncertainty_interval,prevalence_of_bmi_30_to_35_upper_95_uncertainty_interval,prevalence_of_bmi_30_to_35_,prevalence_of_bmi_35_to_40_lower_95_uncertainty_interval,prevalence_of_bmi_35_to_40_upper_95_uncertainty_interval,prevalence_of_bmi_35_to_40_,prevalence_of_bmi_40_lower_95_uncertainty_interval,prevalence_of_bmi_40_upper_95_uncertainty_interval,prevalence_of_bmi_40_morbid_obesity,prevalence_of_bmi18.5_underweight,prevalence_of_bmi18.5_lower_95_uncertainty_interval,prevalence_of_bmi18.5_upper_95_uncertainty_interval,prevalence_of_bmi30_obesity,prevalence_of_bmi30_lower_95_uncertainty_interval,prevalence_of_bmi30_upper_95_uncertainty_interval,prevalence_of_bmi35_severe_obesity,prevalence_of_bmi35_lower_95_uncertainty_interval,prevalence_of_bmi35_upper_95_uncertainty_interval,prevalence_of_anemia_among_children_of_children_under_5_sh.anm.chld.zs,prevalence_of_anemia_among_nonpregnant_women_of_women_ages_1549_sh.anm.nprg.zs,prevalence_of_anemia_among_pregnant_women_sh.prg.anem,prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_1549_sh.anm.allw.zs,prevalence_of_overweight_of_adults_sh.sta.owad.zs,prevalence_of_overweight_of_children_under_5_sh.sta.owgh.zs,"prevalence_of_severe_wasting,_weight_for_height_of_children_under_5_sh.svr.wast.zs",prevalence_of_undernourishment_of_population_sn.itk.defc.zs,prevalence_of_wasting_of_children_under_5_sh.sta.wast.zs
Argentina,ARG,15,150,14,158,29,873,179,0.82,41,<5,12770,,,Men,26.73930652,28.70670523,27.71,1500000,0.010515291,0.032843123,0.01985133,0.257261094,0.372513673,0.313900118,0.335372136,0.4612907,0.396968206,0.142255413,0.261741959,0.198922417,0.027003401,0.093835598,0.054853134,0.00343646,0.026518334,0.011515125,0.00398967,0.001398602,0.00877657,0.265290676,0.204166515,0.332089446,0.066368259,0.037284974,0.107443606,20.1,15.8,27.5,16.3,61.2,,,3.5,
Argentina,ARG,15,150,14,158,29,873,179,0.82,41,<5,12770,,,Women,26.46949043,28.47796519,27.46,1500000,0.024096178,0.064629386,0.041414847,0.292289982,0.405214646,0.348425047,0.256275399,0.366779755,0.310514257,0.120635512,0.228824168,0.173005195,0.049196062,0.128584938,0.083712896,0.013091602,0.056422818,0.030675741,0.012252017,0.005406704,0.022902035,0.287393832,0.22969435,0.349440699,0.114388638,0.074833366,0.161547091,20.1,15.8,27.5,16.3,61.2,,,3.5,
Armenia,ARM,18,78,14,151,32,569,137,0.742,30.6,<5,4120,,,Men,24.89058019,26.15411601,25.52,100000,0.018167482,0.058827756,0.034936878,0.338866813,0.474484396,0.404327931,0.308600228,0.448506344,0.379566542,0.076395608,0.193898616,0.130012836,0.008325002,0.050106997,0.024189811,0.00220612,0.022910839,0.008853755,0.018112248,0.006482713,0.038485919,0.163056401,0.107396262,0.228593448,0.033043565,0.014185399,0.061957853,29.3,25.5,32.6,25.7,52.8,,,4.6,
Armenia,ARM,18,78,14,151,32,569,137,0.742,30.6,<5,4120,,,Women,26.39738575,27.82125274,27.11,100000,0.030465352,0.077957059,0.051062326,0.310042413,0.431109503,0.369433526,0.261329082,0.379963582,0.320102252,0.096170952,0.206987242,0.148658819,0.026380878,0.094330158,0.054732974,0.007928359,0.047132202,0.022618009,0.033392095,0.014924119,0.062071035,0.226009803,0.166694589,0.289238543,0.077350984,0.044593135,0.12290352,29.3,25.5,32.6,25.7,52.8,,,4.6,
Australia,AUS,19,58,8,206,27,922,198,0.931,,,65920,,,Men,27.16397899,28.07703861,27.61,600000,0.008610017,0.020615751,0.013825367,0.228236271,0.308300348,0.267687909,0.379440786,0.477309295,0.428622393,0.158693157,0.245832407,0.199991633,0.041945551,0.094082362,0.064637154,0.011102196,0.03711532,0.02156288,0.003672665,0.001894253,0.006328494,0.286191666,0.241482642,0.33497255,0.086200033,0.060325612,0.116626392,12.1,7.8,19.5,8.2,63.1,,,2.5,
Australia,AUS,19,58,8,206,27,922,198,0.931,,,65920,,,Women,26.23420699,27.29775822,26.77,600000,0.034441885,0.07149697,0.051254702,0.303430276,0.391132958,0.34707125,0.26229608,0.347008086,0.304042961,0.120387653,0.198755707,0.157006416,0.052707463,0.109763024,0.078325273,0.026184873,0.070155707,0.044352366,0.017947032,0.010266178,0.028366339,0.279684055,0.234891329,0.327087482,0.122677639,0.091142056,0.159604002,12.1,7.8,19.5,8.2,63.1,,,2.5,
Austria,AUT,20,40,8,205,28,1417,190,0.897,30.8,,50700,,,Men,25.17649257,28.00231482,26.58,200000,0.01190701,0.03597254,0.021753932,0.295199834,0.407630681,0.349471994,0.348498106,0.47558511,0.412180745,0.107565524,0.217662526,0.158645247,0.017805182,0.073502194,0.040148475,0.003237119,0.027721246,0.011461347,0.006338261,0.002319963,0.013524425,0.210255069,0.154318832,0.273385057,0.051609821,0.02661768,0.086815644,11,14.7,23.8,14.9,53,,,2.5,
Austria,AUT,20,40,8,205,28,1417,190,0.897,30.8,,50700,,,Women,22.95349797,26.3415556,24.69,200000,0.041986605,0.09667833,0.065953227,0.383040052,0.487899371,0.435132984,0.241721698,0.341009434,0.289721229,0.07903681,0.170738208,0.121725493,0.019978214,0.072661665,0.041365264,0.00629421,0.038221585,0.017840604,0.028261199,0.013210327,0.050597577,0.180931361,0.131636954,0.233793466,0.059205868,0.03356836,0.09490692,11,14.7,23.8,14.9,53,,,2.5,
Azerbaijan,AZE,16,126,16,122,32,757,133,0.752,,,7450,18,4.9,Men,24.88577029,27.02779872,25.96,200000,0.018305692,0.06247054,0.036655679,0.355116352,0.49708945,0.424642275,0.303645728,0.44922269,0.376362007,0.068419408,0.183568178,0.1209141,0.006537545,0.048517296,0.021717622,0.000858646,0.015444907,0.00511885,0.014589466,0.004446389,0.033403174,0.147750573,0.092532347,0.211423142,0.026836473,0.010333129,0.054650243,26.5,36.4,37.9,36.5,51.6,13,1.1,2.5,3.1
Azerbaijan,AZE,16,126,16,122,32,757,133,0.752,,,7450,18,4.9,Women,26.47823714,29.10720351,27.81,200000,0.030388167,0.080782213,0.052574104,0.316079901,0.443548216,0.37899608,0.253691918,0.373177606,0.310769714,0.09064627,0.20840275,0.14567672,0.026705936,0.105097669,0.058086037,0.007376995,0.051290686,0.023481916,0.030415429,0.011889526,0.062382958,0.227244673,0.165489704,0.296442995,0.081567953,0.044187454,0.131497094,26.5,36.4,37.9,36.5,51.6,13,1.1,2.5,3.1
