area,food_group,ssr_645,ssr_664
Bangladesh,Alcohol,0,0
Bangladesh,Dairy,49.01252799,30.57756233
Bangladesh,Fats & Oils,2.257581939,19.84914749
Bangladesh,Fruits,63.70790052,27.59717979
Bangladesh,Grains (Starchy staples),651.6124287,1989.079812
Bangladesh,"Legumes, Nuts & Seeds",9.229347443,31.06932383
Bangladesh,Meats,70.72350747,60.72472413
Bangladesh,Miscellaneous,,
Bangladesh,Spices,7.110999354,19.24980048
Bangladesh,Sugars,22.2474709,62.96207207
Bangladesh,Vegetables,60.37804578,19.78621085
Barbados,Alcohol,185.3557493,95.02020202
Barbados,Dairy,57.07467584,38.00213904
Barbados,Fats & Oils,22.80800843,187.6923077
Barbados,Fruits,52.84543936,18.13170732
Barbados,Grains (Starchy staples),9.308310054,20.74643735
Barbados,"Legumes, Nuts & Seeds",5.780821918,15.6875
Barbados,Meats,167.4908997,222.4788732
Barbados,Miscellaneous,,
Barbados,Spices,0,0
Barbados,Sugars,159.0446304,552.7462116
Barbados,Vegetables,86.30831052,27.2152381
Belarus,Alcohol,182.1851804,189.1365201
Belarus,Dairy,916.1361504,424.0318961
Belarus,Fats & Oils,71.94824766,597.019507
Belarus,Fruits,178.6901098,66.57858579
Belarus,Grains (Starchy staples),814.209812,1196.564326
Belarus,"Legumes, Nuts & Seeds",10.65381058,32.50093148
Belarus,Meats,363.2355131,542.0096102
Belarus,Miscellaneous,,
Belarus,Spices,0,0
Belarus,Sugars,112.9112367,333.4184264
Belarus,Vegetables,338.0774832,88.78145756
Belgium,Alcohol,452.4283706,263.6196805
Belgium,Dairy,676.5688743,426.3929054
Belgium,Fats & Oils,77.20996714,619.6367861
Belgium,Fruits,176.9777316,63.13018373
Belgium,Grains (Starchy staples),409.3496859,750.2287285
Belgium,"Legumes, Nuts & Seeds",0.807524309,1.976392919
Belgium,Meats,497.1547585,597.9152678
Belgium,Miscellaneous,,
Belgium,Spices,0,0
Belgium,Sugars,141.464669,478.9656861
Belgium,Vegetables,396.753003,140.1220521
Belize,Alcohol,87.87599134,66.61052632
Belize,Dairy,36.21688024,21.98225806
